F1,F2,F3
0.711205,-0.27131,0.183078
1.014174,-0.265961,0.226884
0.80847,-0.153086,1.982187
-1.501612,1.079803,-1.555955
-1.537284,0.051055,-1.674295
0.391444,-0.298708,-0.200331
0.73116,1.470011,2.282571
0.91242,0.013444,1.794609
0.416939,0.975998,-0.248281
0.932189,1.156288,1.380282
0.569139,-0.668674,0.207845
0.581709,0.195516,-0.27979
0.301941,-0.629624,-1.224661
0.678796,0.117685,0.363996
1.238072,-0.072509,0.632779
0.986492,0.120555,-0.61866
1.205821,0.644885,0.144695
1.216471,0.277685,-0.748458
0.618732,-0.743534,-0.70748
0.703633,0.275915,0.431437
1.147528,-0.374674,-0.201243
1.165923,0.565316,-0.098433
-1.741646,0.762238,-0.840391
1.401528,0.592456,-0.032806
-1.61108,-0.41027,-2.475546
0.108039,0.51929,0.309198
0.951138,0.061628,0.267982
0.706507,0.479722,0.950368
-1.643617,0.535354,-0.878799
-0.258115,-1.340258,-0.258895
-1.781579,-1.24666,1.113967
0.342926,0.981137,0.170113
0.717273,-0.636442,-1.142167
-1.802576,-1.113437,0.479713
0.341614,-1.041644,1.998842
-1.390848,-0.576952,0.117195
-1.80068,0.117419,0.013618
1.152485,-0.468777,1.055607
-1.582915,-2.091925,0.385307
0.039276,0.284575,0.875821
0.807118,0.190354,-0.152542
-1.601777,-0.446252,0.286352
0.14637,0.091091,0.260953
-1.71131,0.096081,-0.548693
1.13529,-0.638204,-0.003523
-1.825929,-0.459648,-0.42519
0.331231,1.067456,-0.220847
0.656131,0.88811,-0.562746
0.944354,0.364601,-0.675562
0.634052,-0.310167,0.360613
0.979017,0.011332,-0.913113
0.973504,-0.874338,-1.382217
-1.305806,-1.750467,0.030107
0.394955,1.480245,0.619388
0.790094,0.41787,-0.083028
0.97905,-1.031858,-0.95108
0.306864,1.20963,-1.233123
-1.820997,-0.806957,0.093725
0.343613,3.357722,-1.104839
0.687583,-1.98155,-0.994718
0.280784,-1.077873,-0.467828
-0.074757,1.755177,2.109968
0.510982,0.44513,-0.261433
0.920474,-0.007601,0.654021
0.333495,0.15042,2.789091
0.338785,0.510931,1.483762
1.051274,-0.042707,0.127583
0.8472,-2.096886,-0.376949
0.196639,0.076645,-0.315039
-1.786714,1.014115,-0.429675
0.373084,1.480737,-1.923882
0.358479,1.169675,-0.109386
0.444128,0.460319,-1.002361
-1.830989,-0.082594,-0.159061
1.058422,-0.192799,1.355489
0.370465,1.571146,0.146342
-2.067735,-2.491058,0.444205
0.582369,2.515558,-0.339035
0.105587,-0.564004,0.577346
0.922508,2.279907,0.684623
0.778974,0.004142,-0.196035
-1.698963,0.941146,-1.034887
0.846189,-0.592753,0.233384
0.211448,-0.365693,1.109396
-1.290775,-0.286681,0.599545
-1.292789,1.423595,-0.414262
0.893854,-0.090602,-0.349989
0.455443,0.176435,-0.181124
1.061615,-0.181024,-0.188187
-1.438481,0.320352,-0.90327
0.779214,-1.447423,-0.526167
-1.692897,0.3215,0.700455
-1.561775,-0.655119,0.456593
0.843598,-0.033531,0.709921
-1.556098,-0.232894,0.067622
0.593668,0.304292,-0.829816
0.541128,-0.543795,-1.144033
-1.647608,-1.19347,0.510631
-2.094733,-0.683863,-0.431618
0.033521,0.02988,-1.090267
-1.447809,-1.563741,1.414867
0.483888,1.49485,-0.158986
-0.214177,-0.403547,1.294191
-1.730349,0.163905,-0.458175
0.508646,-0.343837,-0.210639
-1.423966,-0.03763,-0.696899
0.654015,-0.832182,-0.292452
0.920916,0.356781,-1.157922
0.247834,-0.028263,-1.378766
-1.442473,0.489443,-0.228326
-2.270708,1.220359,-1.140545
0.239128,-1.099288,-0.939102
-1.498552,-1.965644,0.541081
0.847765,0.126796,0.739309
-1.453168,0.231143,0.243292
-1.517985,-1.226765,0.408985
-1.298848,-0.865405,1.850745
-1.721454,-0.383929,0.968558
-1.293948,0.137201,0.370038
-1.233015,-0.037315,-0.648714
0.640654,-0.338894,0.620468
-1.657682,-1.385924,0.622172
-1.428383,0.149745,1.421805
1.174325,0.250669,-0.473455
-1.563897,-0.673509,-1.5661
-1.479473,-1.700915,0.659709
-1.560277,0.212613,-0.490546
0.94776,-0.885592,-0.102199
-1.66617,0.243197,-0.455069
0.766088,-1.325989,0.227045
1.145078,0.595525,0.762537
0.964323,0.322722,0.838006
-1.767784,0.515667,0.067353
-1.403927,0.430657,-0.464644
0.534405,1.07164,-0.174696
0.486447,0.391298,-1.014872
-1.618305,-0.232081,0.296862
-1.626691,-0.652507,0.102475
0.842821,-0.598045,0.12362
-1.70329,-0.175804,-0.591119
0.453277,0.180166,-0.112803
0.703465,0.529222,-0.38985
-1.625701,-0.104807,-0.610363
-1.592636,1.128486,-0.264593
1.223995,-0.190647,0.377258
0.541429,-0.616855,-1.354569
1.001033,-0.342443,-0.148343
-1.979936,0.304876,0.60885
-1.698101,-0.658034,0.037903
0.792657,0.788522,0.01586
0.571353,-0.669521,-0.170864
1.141899,0.556728,-0.50343
-1.464859,-1.172352,0.741886
-1.743156,-0.194537,0.98257
1.051644,-0.385768,-0.219082
1.058078,0.775702,-0.214757
-1.773311,-0.412374,0.915461
0.985069,-0.214295,-0.911933
0.936434,-1.579997,0.167167
-1.277187,-1.412493,-1.190511
-1.05376,-0.774448,3.219378
-1.986306,-2.001783,0.581669
0.517509,0.119934,0.466749
-1.22275,-0.802632,-0.041966
1.111306,-0.000888,-0.076282
0.449351,0.532301,-1.678768
-0.619763,0.110852,3.734007
-1.568697,-0.379659,0.371386
1.206143,1.134101,0.368597
0.96537,0.213959,-0.539537
0.352489,0.592599,0.075494
-0.084262,0.096273,3.449958
1.008236,0.114185,-0.903467
0.605365,-1.329034,-1.077049
-1.567132,0.113203,-0.850424
-1.625764,0.226026,-0.462906
0.092536,-0.447471,-0.481487
-1.301025,0.689571,0.245758
1.144934,0.389042,0.31066
-1.610242,-0.802968,0.899663
0.938499,0.143013,0.2317
1.182924,0.80003,-0.014826
-1.835562,0.759007,-0.516936
0.492984,-0.160138,-0.261113
1.108284,0.739537,0.177576
1.162923,-0.049832,0.657013
0.9065,0.124483,-0.74348
0.375248,-0.687283,-1.416271
1.010771,0.768055,0.348795
-1.668902,-0.254843,0.461487
0.840917,0.409018,-0.050268
-1.593569,-0.238508,-0.21432
-1.499318,-0.900313,-0.03936
0.920093,0.084466,0.47455
0.617909,0.114561,1.109622
0.764451,-0.246848,-0.525863
0.377173,0.4916,-0.040066
-1.416517,-0.010621,0.837223
-1.598025,-0.475431,-0.326412
0.773426,-0.656683,-0.258099
0.794994,-0.034365,-1.065185
0.481436,-0.118036,-0.286187
-1.797002,-0.234985,-0.356555
-1.525103,-0.204768,-0.07214
0.313794,-0.552946,-0.482063
0.495281,-0.012524,1.477141
-1.647771,0.465971,0.79786
0.489339,-0.196132,-0.193289
0.715002,0.377285,-0.606931
-1.593601,-0.099417,-0.251008
1.032126,-1.124416,-0.222515
0.808936,-0.805276,0.109213
0.568574,0.090035,-0.043357
-1.920729,-0.47425,-0.018608
-1.546986,1.652317,-0.00019
1.07707,0.474371,-0.957768
0.692878,-0.618936,0.444618
1.046617,-0.015885,0.151745
-1.281969,2.272835,0.411315
0.478268,-0.603115,-0.197902
-1.588508,-0.589456,0.185566
1.350804,0.373504,1.366612
-1.505729,-0.747119,0.871751
0.783111,-0.762454,-0.229901
0.682712,0.336509,-0.456779
-1.708301,-0.470613,-0.508096
0.981707,0.118355,0.436818
-0.10531,0.27189,-0.621351
-1.665414,-0.598055,-0.093419
0.633322,0.297356,0.261093
-1.360268,0.112969,0.134121
-1.658282,-0.025636,-0.312204
-2.061295,-0.961843,0.24032
0.214849,0.505283,-0.395594
0.892431,-0.930176,-0.427937
-1.603541,0.153486,0.435713
0.325118,0.01495,-0.76191
-1.382743,-0.832108,0.513748
1.175584,0.004955,-0.85674
-1.678378,0.107487,-0.139413
1.128912,0.304035,-0.117449
0.729018,0.232047,-0.035576
0.834786,0.908936,0.081158
-1.445499,-0.503156,-0.715834
0.670706,0.570119,-0.883021
0.500209,1.26654,-1.219699
-1.45432,0.49856,-0.20343
1.138264,-0.73622,-0.676709
-1.574439,-0.655793,-1.15816
0.303041,-0.207113,-1.342386
-1.664553,-0.916166,-0.447587
0.508499,0.495305,-0.126786
0.450387,0.216089,-0.977823
-1.518085,0.234029,-0.542126
-1.430653,-0.23821,0.133168
-1.368047,0.347478,-0.20805
0.700939,-1.068992,-0.442009
1.237626,-1.341506,-1.994043
-1.462539,-0.449107,0.370651
0.905334,0.165762,-0.727922
1.087759,0.139686,-1.038867
-1.473358,-1.133962,-0.147477
0.856104,1.007176,-0.130459
0.570791,0.638059,0.179834
0.835772,-0.531728,1.897379
0.735755,-0.993094,-0.433735
-1.578476,1.025425,-1.183256
1.156321,-0.139007,0.354923
0.932309,1.053126,0.660151
0.456934,-0.064264,-0.228514
-1.689595,0.381015,-0.871572
-1.671829,0.657797,-0.269798
0.731235,0.824333,-0.074221
-1.645608,-1.190495,0.250377
0.47996,-0.19769,-0.545575
0.153532,0.625809,-1.415412
-1.696189,-1.346832,0.162245
0.803398,-0.574873,0.304332
1.251174,-0.311758,-0.669093
0.662536,-0.444041,-0.53854
1.197476,0.035185,0.811888
-1.630835,-0.462604,-0.71668
0.464492,-0.635208,0.102538
0.712199,0.179152,-0.532395
0.368687,-0.228848,-0.70662
-1.642085,0.188263,-0.645731
0.807599,0.599563,0.482058
-1.474924,-0.714782,4.247888
-0.951049,1.454189,-1.639848
-1.487346,-0.586278,-0.369092
-1.502086,0.196677,-0.299022
0.696552,0.118147,0.140123
1.122571,0.155119,0.572667
0.06546,0.781128,-0.669352
-1.693922,0.468244,-1.389254
0.652464,-0.484542,-1.467914
1.10746,0.853677,-0.052848
-1.523937,0.310795,-1.004278
0.976812,0.024797,-0.083049
-1.551054,0.820647,-0.323476
0.36043,0.90251,-0.618422
0.621454,0.645666,0.836345
-1.60614,0.526445,-1.003049
-1.735164,1.031444,-0.922209
0.575517,-0.037106,0.238952
-1.598933,0.028031,-0.987151
-1.39709,-1.229503,1.023361
1.122455,0.101165,-0.236197
0.915957,-0.390004,0.824651
0.211758,0.359048,-0.315626
0.543109,1.038102,-0.852605
-1.618327,-0.929994,0.478629
0.517449,0.33153,-0.693091
-1.501059,-1.28938,0.605326
0.985713,-0.717531,0.046918
-1.069484,-1.010636,4.029099
0.844382,-1.057433,0.45247
-1.339886,0.961393,0.247191
1.080001,-0.228205,1.096672
1.015113,-0.216343,0.773594
-1.587482,-2.338228,0.291142
1.096986,-1.563762,-0.738783
0.800271,0.47249,0.70301
1.177961,0.064477,-0.356777
-1.394222,0.094948,1.681223
0.543868,1.775602,-1.043464
0.772836,-1.369504,-0.872357
1.054753,0.600619,0.277346
-1.557946,0.111218,-1.105983
0.386459,0.834222,-2.020309
0.809259,0.239366,0.899978
-1.641133,0.090857,-0.710846
0.728141,-0.163332,-0.647636
-1.579337,-1.1912,1.535049
0.641167,0.409942,-0.303497
-1.483198,0.470733,-1.121455
-1.43686,0.311781,-0.671632
0.662352,-0.330966,-0.56244
1.302033,-0.2764,0.083636
-1.656534,-0.470659,-0.156154
0.528444,-0.018188,-1.230117
1.044901,0.678069,0.665129
-1.246657,-0.438951,1.139956
0.702299,0.318055,1.389183
0.678639,-0.298965,0.334484
0.915381,0.605764,-0.859147
0.599216,-0.157581,-0.373087
-1.55681,-1.021812,1.496893
-1.686695,-0.141929,-0.530529
1.017076,0.020646,-0.118478
1.051249,-0.550278,0.555654
-1.538737,-0.709023,-0.053435
0.487868,-0.10932,-0.418313
1.159558,0.487147,-0.069305
0.971862,0.579513,0.940155
1.0602,0.483006,-0.600457
1.098079,0.399633,0.336036
-1.634146,-0.715341,-0.06785
0.666999,-0.364206,0.316839
1.090249,1.398288,0.410023
0.657675,0.115245,-0.073475
-1.281421,-0.200508,-0.351387
-1.461625,-0.781246,0.750071
1.114263,0.551749,0.309556
0.605954,-0.159629,-0.485279
0.903992,0.850359,-0.401187
-1.849924,-2.210252,-0.055999
-1.521352,-0.378035,-0.953589
0.207434,0.525551,-1.649376
0.974923,0.122172,0.500421
0.477828,0.428611,-1.051713
0.913874,0.806653,-0.765211
0.801983,0.994681,0.521747
-1.695446,0.627933,-0.685843
0.779857,-0.002202,1.162904
-1.854146,-1.625915,0.251872
0.321693,4.044827,6.405989
-1.316913,1.411405,0.743369
0.950565,-0.56758,-0.132518
-1.589697,-0.375723,-0.049702
0.816038,0.053962,-0.455596
-1.468255,-0.239152,-0.856805
0.792106,-0.105062,-0.332181
-1.669249,0.430469,-0.799605
0.797492,-0.843411,-0.088444
0.848539,-0.981468,-0.122763
-1.706859,-0.380461,-0.257681
1.057667,-0.306603,0.214088
-1.652373,0.187667,-0.685532
0.459191,0.050014,-0.498372
1.269544,-0.022899,2.600635
1.131876,0.407129,0.879115
1.297453,-0.878433,-0.739659
0.547025,0.111479,-0.525798
-1.498816,-0.954332,-0.414183
-0.831391,-0.897605,-0.258412
-1.368897,-0.700338,-0.15142
0.962766,0.258851,-0.301913
0.810502,-1.195588,-1.059255
-1.411319,0.296269,-0.495193
-1.158185,-1.591623,0.192172
-1.609246,0.746261,-0.498403
-1.684708,-0.866507,-0.421945
0.570391,0.486343,-0.680983
0.904963,0.790991,-0.770846
1.038895,-0.380854,0.728748
-1.397783,0.284526,0.018307
0.43051,0.500287,0.281431
1.05409,0.587208,-0.844284
0.788968,0.115711,-0.282443
1.159929,0.183756,0.491594
0.993933,0.895367,-0.056772
-1.685603,0.216119,-0.954289
0.821211,-0.994992,-0.420967
0.890399,-1.130136,-0.117674
1.039132,-0.128309,0.551563
-0.26356,-0.379496,2.342431
0.480958,0.513885,-0.53638
1.217278,0.261981,0.187141
0.809983,0.160644,-1.472768
1.300703,0.577451,0.660918
-1.508767,-0.852475,0.644286
0.462761,0.666706,0.967842
1.001688,2.973059,-0.458154
0.812304,-1.356585,-1.344199
-1.48611,0.737608,-0.119995
0.8589,0.175251,0.374784
0.943228,0.139861,1.784156
0.444337,0.584649,-0.489317
0.855078,0.017796,0.460756
0.921331,-0.161784,1.383894
-1.512184,-0.584084,1.617856
0.638404,-1.135866,-1.138909
-1.471621,-1.435078,0.706829
0.242553,0.974671,0.236657
1.081573,0.18016,-0.117614
1.066683,0.434319,0.586124
0.800765,0.84442,-0.705191
0.981242,0.031077,0.124671
1.315269,0.110264,0.355099
0.561678,-0.295554,-0.496743
0.747182,0.811517,0.227215
0.430607,-0.632235,-0.46293
1.029281,0.749899,-0.618712
0.655163,0.033211,-0.80474
0.819274,0.070211,-1.188942
-0.017839,-0.655035,-0.512427
0.615031,-0.218128,-0.556916
1.161039,1.031843,0.228238
1.084016,1.146806,-0.758792
0.863542,-1.120231,-0.016278
1.543466,0.062235,0.649064
0.761497,0.074741,0.367934
-1.483023,-0.54432,-0.504487
0.973956,-0.090363,1.208665
1.023413,-0.213405,-0.123461
0.825934,-1.557247,0.135322
-1.175966,-1.044907,0.140318
0.52401,0.056143,-0.537958
-1.179547,-0.023946,1.589056
-0.076386,-1.714901,0.758238
0.829195,0.180153,-1.177084
-0.112298,-0.23545,1.097689
-1.391272,0.797668,0.205084
0.593949,-0.045948,-1.027351
-1.370624,-0.030167,-0.890429
-1.296717,0.262394,-0.570965
-0.083239,-1.307109,0.926243
1.04315,-0.001641,0.156941
0.889761,-0.437977,-0.523822
-3.144319,-2.221305,-0.515496
1.014019,1.280658,1.324772
0.711635,-2.886572,8.56653
-2.118291,0.148592,0.323557
0.897495,0.23585,-0.206726
-0.251378,0.064999,0.936789
-1.680525,0.537957,0.271694
0.431745,-0.111712,-0.759002
1.211859,-0.001132,0.37716
1.675529,0.924973,4.042284
0.834977,-1.598434,-0.859232
-1.585199,0.093389,-0.744258
0.990451,0.091359,0.329566
0.422221,-0.457329,-0.750357
-1.569863,-0.854551,-0.612451
-1.587185,0.453304,0.389522
-1.656325,0.791221,0.246064
-0.227692,-0.238168,0.823411
-1.683301,0.284413,-1.126758
-1.561968,1.60371,0.080873
0.033002,-0.698139,0.460072
-1.432223,0.415114,0.590633
1.001071,-1.389487,0.487771
-1.437982,-1.847153,0.575387
0.043755,-0.304981,0.473147
0.83255,0.034498,0.331993
-1.523708,1.074374,1.057894
-1.03692,0.823627,1.918134
0.196662,3.818017,-3.404839
-1.066537,3.709518,0.672135
-0.856558,1.671878,1.329346
-0.722118,2.203285,0.837529
-1.332231,1.578123,1.128629
0.747607,-1.120129,-1.201959
-1.146217,1.410148,1.47311
0.459268,0.959813,-1.290127
-2.46225,-0.185165,2.33261
0.900925,-0.25772,0.893702
-1.355305,1.252587,1.261265
-0.716936,1.855506,1.345
-0.77067,1.62076,1.131779
-1.040205,1.681873,1.513326
-0.289706,2.439448,1.494587
-0.533267,2.377026,1.599271
0.629169,0.272973,-0.157587
-0.987612,1.464229,0.849829
-1.08254,0.117661,0.869159
-0.651946,1.086965,2.385023
0.654781,-0.19797,-0.555097
0.066469,-1.028578,0.922399
0.764147,-1.843027,-1.581581
0.331386,0.091735,-0.580271
0.698232,0.390808,0.486185
-0.114221,-0.332007,1.717275
0.521983,-1.130729,-0.413275
0.750886,-0.670063,-0.007058
-1.173,1.773261,1.195509
0.031789,0.478998,0.331024
-0.276788,-0.280541,1.507755
0.152036,0.681132,0.403684
-1.838407,-1.236418,-0.843687
0.099919,-0.070392,1.799701
-1.434726,-0.696059,-0.904513
-0.028845,0.115941,-0.808585
0.804179,0.007025,-0.112228
-2.108942,-1.469406,-0.654419
-0.032637,-0.428351,1.366779
0.991711,-0.374416,0.233735
0.125813,-0.421502,1.969535
0.650412,-0.5274,-1.420767
0.643876,1.184726,1.338436
-1.524731,-0.737256,0.27901
0.221985,-0.192706,1.321573
0.17116,-1.045345,0.428092
0.053569,-1.08639,-0.522021
0.555496,0.281495,-0.599349
0.310278,-0.020478,0.836332
-1.23746,2.455894,0.521353
0.13798,-0.386466,-0.960533
0.623683,0.157308,-0.222638
0.323939,-0.55132,0.050723
0.047651,-0.327867,0.467766
0.290933,1.085645,1.493736
0.459058,0.984532,-0.184612
0.735872,0.811799,1.005491
0.38666,-0.701264,2.086844
-1.714198,0.349702,-0.361267
-1.839129,0.84042,-0.313778
0.960571,-0.851369,-0.083029
0.804858,0.571186,0.516459
0.588591,-0.652505,-0.522852
-1.464426,1.355728,-0.952001
-1.604149,-0.343057,-1.039274
-1.547371,-0.310924,-0.897433
-1.510748,-0.022189,0.028668
0.432889,-0.464981,-0.277022
0.402341,0.522948,-0.473628
-1.708785,0.296602,1.214958
-1.219459,0.39673,0.500187
0.513326,-0.350214,-0.277101
0.040622,0.494883,-0.199424
1.048141,-0.188525,0.2766
0.588772,0.07081,0.905882
0.513182,-0.278099,-1.29827
-1.634632,-0.404052,-0.10373
0.586178,-0.753364,0.217093
0.447129,0.356619,0.20226
0.869186,0.098919,-0.712581
0.545421,-0.578561,-1.185622
0.443838,-0.013386,0.567196
-1.912714,-1.46226,-2.934258
-0.148872,0.470447,1.624529
0.501532,-0.646049,-0.411002
0.701918,0.095746,1.10757
-1.424273,-0.299986,-0.391039
0.660812,1.181588,0.685053
1.23904,-1.350831,-0.064467
-1.600385,-1.133184,0.486261
0.525545,0.678513,1.721377
0.341251,0.920981,-0.100252
0.498267,0.274365,0.26425
0.476722,0.072151,-0.555173
0.794014,0.51969,1.173304
0.870003,-0.791557,-0.793386
0.509403,2.374935,-0.44435
-1.626738,-0.62002,-0.925611
-2.05095,-1.12704,0.735959
0.951045,-1.335868,-0.349937
0.873137,-0.577746,-0.077954
0.267808,0.628182,-1.152223
0.430785,-0.530642,-0.288864
-1.658069,-1.421626,-1.122821
0.158934,0.388093,-0.454184
0.041713,-0.762129,0.010543
0.580194,1.532809,-0.187951
0.637508,2.707228,-0.854041
0.303915,-0.029397,-0.360461
0.736469,-0.194467,0.135246
0.729499,-0.884563,-0.238025
0.302192,0.685008,0.058139
0.346292,0.862875,-0.638981
0.300292,1.139512,-0.242078
1.072931,1.071483,0.526119
0.506344,2.443027,-0.166561
0.435629,0.541663,0.793728
0.579776,0.981131,-0.333492
0.938845,-0.593926,0.15021
0.453658,-0.025873,0.642317
1.18198,0.931769,0.492751
0.597568,-0.138958,0.532622
0.398272,1.985454,-0.762643
0.704133,-0.944727,-0.253337
0.474553,1.378921,0.15284
0.095904,0.373162,-0.477651
0.370062,1.070731,-0.612714
0.643858,0.389642,2.373506
0.367302,0.368503,0.75389
0.817298,-0.849607,1.261674
0.354838,1.017966,-1.645859
-0.400543,-0.658318,-0.43954
0.072808,-0.360047,0.694871
0.847371,-0.145055,-0.126198
-1.63109,-1.240388,-0.19808
0.5715,-0.993297,0.019772
0.483407,1.008188,0.332432
-0.123565,-0.75851,0.666803
0.461707,0.331225,-1.026879
-1.537031,0.045836,-0.04446
0.129415,0.051693,-0.883067
-1.779547,-1.155724,-0.186119
0.774049,-0.785164,0.67911
-2.34166,0.575784,0.580224
0.833721,-0.217727,0.594682
-1.022094,-0.961036,-0.531614
0.326869,0.068817,-0.456718
-1.382188,0.876388,-0.478161
0.54262,-0.847253,1.187697
0.581936,1.150301,0.226966
-1.34269,-0.293508,-0.811401
-0.049122,-1.724209,-0.246164
0.542471,-0.962845,-0.750908
0.101746,0.612469,-1.393414
-1.511756,1.342861,-1.02974
0.382833,-0.373293,-0.997
0.808396,0.883696,-1.24681
1.082591,-0.866992,0.009599
-1.839029,-1.199548,-0.347827
-1.407644,0.773322,-0.854095
0.409706,-0.487892,0.625543
1.143944,-0.612961,-0.687825
-2.609154,-0.35519,0.710105
0.84946,-0.30724,-0.907153
0.551474,1.070734,-0.532472
-1.605573,0.328486,-0.674811
0.08928,-1.122474,-0.792179
0.883383,-1.790317,-0.323419
1.080446,0.570017,-0.504929
0.866497,-0.053452,-0.819654
0.45155,1.218248,0.236875
1.492187,-2.88428,3.69402
-1.095728,1.067313,2.817106
0.694329,-0.166056,0.604865
0.283503,1.008517,-0.320179
0.35836,1.385132,0.417543
-1.523897,-0.521033,0.471738
0.380081,0.075201,-0.185718
0.614789,-0.485756,-0.107631
-1.969744,0.1311,0.157388
0.163443,-1.335663,-1.507496
0.164324,0.484378,-1.767653
-1.514089,-0.510154,0.668278
-1.523533,-0.59099,0.206441
-1.431115,-0.009415,0.731194
0.619971,-0.86331,-0.041426
0.524905,-0.892416,0.076153
-1.451972,0.015578,-0.016301
0.132462,-0.854308,0.421703
0.410431,0.925981,-0.334829
0.137146,1.21849,-0.655637
0.402909,0.658021,-0.606249
0.483512,0.816585,-0.696849
0.708089,1.648916,1.232497
0.496328,-0.325734,-0.245232
0.528789,0.274165,0.899426
0.481043,1.567673,0.152227
0.360377,-1.055933,0.302957
-1.560894,0.798491,0.021214
0.336115,1.37063,-1.343568
0.482232,-0.707662,0.428799
0.881819,-2.002619,-0.202487
0.466859,1.216964,-0.202707
0.512778,0.498474,-0.463632
0.519166,1.369622,0.063364
0.300829,1.740017,-0.643753
0.368098,1.809808,-1.396284
0.34811,1.504076,-0.606078
-1.632561,-0.832899,0.455508
0.30144,-1.234054,2.048099
0.888683,0.717294,1.019618
0.846883,-0.619763,0.719144
-1.78842,1.550669,-0.935403
0.77304,0.579477,-1.19461
-1.330442,0.40996,0.415806
-0.270401,-0.485246,0.754363
0.988401,-1.192781,-0.11345
-1.972948,-2.588393,-0.115828
-2.061362,0.500985,-0.025002
0.480456,0.059997,-0.084647
-1.405514,0.846117,-0.748879
-1.481601,-0.910874,-0.053996
0.779922,-0.570435,-0.137512
-1.994844,1.00193,-0.860213
-1.287188,-0.654713,1.115618
0.345378,0.785344,-0.925446
0.839605,0.296273,0.314977
0.511396,1.274158,0.763719
0.935992,-0.629606,-0.372782
0.352928,1.431635,-1.207084
1.194392,-0.607244,0.395981
0.282913,-4.385348,0.338127
0.303976,0.832454,1.612704
1.176837,0.311519,8.625653
-0.934803,-0.503878,2.602267
0.188691,0.355744,0.825071
0.406792,0.353345,-0.457745
0.606715,-0.112616,-0.642597
-1.621406,-0.931951,-1.25384
0.056841,0.177462,1.027504
