F1,F2,F3
-1.216825,-1.676421,1.146147
-0.007811,2.086394,2.27586
0.165154,0.012606,1.044618
-1.737789,1.435361,-0.012032
0.939629,-0.653046,-0.796414
0.108184,0.204543,1.234176
0.055916,-1.135869,1.846476
1.125676,-0.562417,0.811288
-1.614519,-0.833863,0.671481
1.037752,-1.056206,-0.489272
0.630182,0.145136,-1.20867
-0.713337,0.032996,0.179162
-1.466844,1.391032,-0.047059
-0.168226,0.22879,0.294937
1.077813,0.016419,0.990409
0.659264,0.443854,0.355413
0.382537,-1.071403,1.207977
1.064146,0.660035,-0.658371
1.085495,-0.357807,-0.421488
-1.786591,-1.500511,0.311366
1.152277,-1.321255,0.719237
0.028831,-0.468123,1.103897
0.026093,-1.763056,0.56979
-1.775729,-0.195753,-0.123017
0.702018,0.002355,-0.560493
-1.637445,-0.032575,-0.247684
-0.567842,-0.105131,1.362455
-0.441944,-0.795952,0.55132
-1.570485,-1.899916,0.304795
1.015588,0.068108,-0.850234
0.86881,-0.684225,0.253972
0.937292,0.442418,0.23861
-1.637321,0.959947,-0.725906
0.977336,0.134614,-1.808944
-1.445439,-0.975316,-0.03202
-0.04436,-0.277279,0.666966
1.13731,-0.792307,0.882793
-0.748538,-0.155617,2.648649
-0.100374,0.986994,-0.028856
0.863788,-0.204066,-1.590708
-1.429887,0.69873,-0.568742
-1.97552,0.422955,1.322241
-1.715654,-0.617164,-1.460449
-0.274211,-2.285839,1.402748
0.5403,-0.293155,0.187747
0.181454,1.080944,1.054599
-1.34084,-0.53202,0.633342
0.861978,0.211004,-0.535984
-1.749139,-0.445119,0.403056
-1.214177,0.668296,1.416087
0.944769,0.728547,0.209077
0.373232,-0.038704,0.129224
-1.58675,-0.801649,-0.045847
-1.799079,-0.296375,0.545762
-1.559405,0.31222,-0.541788
-1.66056,-0.364244,0.090247
0.761468,-0.704299,0.080539
0.837072,-0.970116,0.824891
0.33348,0.721007,-0.289317
0.164283,0.92171,1.425191
0.656988,-1.761184,-0.124536
0.561688,0.004068,-1.068879
1.150257,-0.803749,0.487625
0.585799,0.154363,1.621843
0.706884,-1.368922,-2.47805
0.778008,0.184598,0.545223
0.144252,-0.187713,0.576524
0.649941,1.436217,0.426158
0.499526,-1.545289,-0.014725
-1.602248,-0.159229,-0.729876
0.983484,0.857856,-0.128863
-1.234225,0.293449,0.510849
0.260843,-1.276511,-0.580902
-0.048347,0.210091,0.234261
-1.622916,-0.105102,0.687736
-0.221155,-1.039917,0.167808
-2.06495,-2.052085,0.171077
0.582443,-0.127137,-1.680868
0.697759,0.466203,-0.910503
0.698194,-0.502181,0.327743
-2.03061,-1.103236,0.472199
0.504834,0.175099,0.311941
-1.765551,-1.76325,0.209581
-1.477955,0.062691,-0.255183
0.68873,-0.724984,-0.110523
1.163132,-0.374722,-2.016059
-1.510597,-0.878128,-1.446855
0.413808,-0.179468,-1.678269
-1.46731,-0.392178,1.795297
-1.098977,0.52133,1.273132
-1.674502,-0.501839,0.635684
1.341715,-6.763223,-3.492251
-1.512298,0.42153,-0.511257
-0.2331,0.872484,0.318917
-0.000288,1.171638,1.255625
-2.024859,-0.9682,1.305755
-1.577061,0.319307,-0.581253
0.220143,-0.95092,1.013468
-0.955188,-0.894311,-0.446005
-0.014903,0.638519,0.545394
0.342132,0.299064,-0.155786
-1.704382,-0.056434,0.144922
-1.420554,0.297212,-1.164069
0.600845,-0.101078,-0.896828
-0.043799,0.432739,0.237685
0.99061,-0.060194,0.546683
0.553166,-0.227951,-1.485778
0.33792,-0.40714,0.555021
0.550438,0.760945,-0.350327
-0.182033,0.260265,0.208469
-1.466083,-0.425027,0.246406
0.007155,-0.863937,0.932644
-1.620716,-0.922234,0.018616
0.6331,2.285876,-0.017065
